scope,group_name,base_year,horizon,forecast_year,low_share,mid_share,high_share
overall,全域,2023,0,2023,0.005784366406422859,0.19565698391124317,0.7985586496823339
overall,全域,2023,1,2024,0.010916404294158447,0.22680887850413764,0.7622747172017039
overall,全域,2023,2,2025,0.014645518550434061,0.2456103983364872,0.7397440831130787
overall,全域,2023,3,2026,0.017289565990461903,0.2570943405217492,0.7256160934877889
overall,全域,2023,4,2027,0.019132648322195023,0.26418781651376055,0.7166795351640444
overall,全域,2023,5,2028,0.020401794320689046,0.2686146839862278,0.7109835216930831
overall,全域,2023,6,2029,0.02126789120542344,0.27140306522457885,0.7073290435699977
overall,全域,2023,7,2030,0.02185495434146943,0.2731738031038288,0.7049712425547018
overall,全域,2023,8,2031,0.02225083844671345,0.27430629690227715,0.7034428646510095
overall,全域,2023,9,2032,0.02251674692555322,0.2750350049036978,0.702448248170749
overall,全域,2023,10,2033,0.022694805669938516,0.27550630833511225,0.7017988859949493
district,乐昌市,2023,0,2023,0.0005674295441649329,0.18441460185360317,0.8150179686022319
district,乐昌市,2023,1,2024,0.003488698988270432,0.21257822054831,0.7839330804634195
district,乐昌市,2023,2,2025,0.004472870013356875,0.23053946446286958,0.7649876655237734
district,乐昌市,2023,3,2026,0.0048283329024500134,0.24164470306171748,0.7535269640358323
district,乐昌市,2023,4,2027,0.0049697436320825,0.2484103281344123,0.746619928233505
district,乐昌市,2023,5,2028,0.005032621385028939,0.25250225567432993,0.7424651229406408
district,乐昌市,2023,6,2029,0.005063635989134934,0.2549680938992401,0.7399682701116247
district,乐昌市,2023,7,2030,0.005080196109137501,0.2564512994183131,0.7384685044725491
district,乐昌市,2023,8,2031,0.005089508144700386,0.2573426166770732,0.7375678751782261
district,乐昌市,2023,9,2032,0.005094906028986261,0.2578779903733789,0.7370271035976346
district,乐昌市,2023,10,2033,0.005098087765777613,0.25819948726409025,0.7367024249701318
district,乳源瑶族自治县,2023,0,2023,0.002200488997555012,0.24254278728606357,0.7552567237163814
district,乳源瑶族自治县,2023,1,2024,0.007284303436951045,0.30301640728852963,0.6896992892745194
district,乳源瑶族自治县,2023,2,2025,0.010526592380314576,0.3362537491129095,0.653219658506776
district,乳源瑶族自治县,2023,3,2026,0.01254219652661021,0.35464492804583725,0.6328128754275527
district,乳源瑶族自治县,2023,4,2027,0.013772969976761274,0.3648822866421506,0.6213447433810884
district,乳源瑶族自治县,2023,5,2028,0.014514783324579967,0.3706108115376067,0.6148744051378136
district,乳源瑶族自治县,2023,6,2029,0.01495756257753313,0.3738309455294111,0.611211491893056
district,乳源瑶族自治县,2023,7,2030,0.015219901139882619,0.3756481552875948,0.6091319435725229
district,乳源瑶族自治县,2023,8,2031,0.015374443789958107,0.37667708819447665,0.6079484680155656
district,乳源瑶族自治县,2023,9,2032,0.015465076969232482,0.3772613386355682,0.6072735843951996
district,乳源瑶族自治县,2023,10,2033,0.015518041887895791,0.3775938816714094,0.6068880764406951
district,仁化县,2023,0,2023,0.0010242403550699897,0.3308296346876067,0.6681461249573233
district,仁化县,2023,1,2024,0.004106960819626251,0.3441765590447186,0.6517164801356551
district,仁化县,2023,2,2025,0.005171423757015672,0.3537980693356218,0.6410305069073624
district,仁化县,2023,3,2026,0.005555907227187798,0.36013003787702536,0.6343140548957867
district,仁化县,2023,4,2027,0.0057044273616822195,0.36413227520118324,0.6301632974371344
district,仁化县,2023,5,2028,0.0057670528868216985,0.36661266701185874,0.6276202801013194
district,仁化县,2023,6,2029,0.005796136464974241,0.36813454605619683,0.6260693174788288
district,仁化县,2023,7,2030,0.005810892137676122,0.3690634433515565,0.6251256645107672
district,仁化县,2023,8,2031,0.005818907770225813,0.36962884427169485,0.6245522479580792
district,仁化县,2023,9,2032,0.005823467335134263,0.3699724884942968,0.6242040441705687
district,仁化县,2023,10,2033,0.005826135332798113,0.3701811886451917,0.6239926760220099
district,南雄市,2023,0,2023,0.0007501875468867217,0.06451612903225806,0.9347336834208552
district,南雄市,2023,1,2024,0.001146239467550244,0.08982588268617858,0.9090278778462711
district,南雄市,2023,2,2025,0.0014755265596019846,0.10302527417549878,0.8954991992648993
district,南雄市,2023,3,2026,0.0017222053505116814,0.10993613393620218,0.8883416607132862
district,南雄市,2023,4,2027,0.0018967142317624216,0.11357093562902844,0.8845323501392093
district,南雄市,2023,5,2028,0.0020158347971465825,0.11549259567490208,0.8824915695279515
district,南雄市,2023,6,2029,0.00209521418956339,0.11651449653348371,0.8813902892769531
district,南雄市,2023,7,2030,0.002147217329357259,0.11706147528073411,0.8807913073899089
district,南雄市,2023,8,2031,0.0021808625225032117,0.11735635695422071,0.8804627805232763
district,南雄市,2023,9,2032,0.0022024265716515815,0.11751657338660279,0.8802810000417459
district,南雄市,2023,10,2033,0.002216148081479522,0.1176043503895967,0.8801795015289241
district,始兴县,2023,0,2023,0.0,0.16786271450858034,0.8321372854914196
district,始兴县,2023,1,2024,0.001822307960982249,0.1765588383979962,0.8216188536410215
district,始兴县,2023,2,2025,0.0018570000471172944,0.1830875656506433,0.8150554343022394
district,始兴县,2023,3,2026,0.0018845303159334358,0.18695008425942497,0.8111653854246416
district,始兴县,2023,4,2027,0.0019008099432769464,0.1892406822697959,0.8088585077869271
district,始兴县,2023,5,2028,0.0019104643389361788,0.190599044311998,0.8074904913490658
district,始兴县,2023,6,2029,0.0019161895529423597,0.1914045754369942,0.8066792350100634
district,始兴县,2023,7,2030,0.0019195846994048537,0.19188226869622166,0.8061981466043735
district,始兴县,2023,8,2031,0.0019215980773227069,0.192165548687322,0.8059128532353553
district,始兴县,2023,9,2032,0.0019227920436758715,0.1923335383999831,0.805743669556341
district,始兴县,2023,10,2033,0.0019235000854398384,0.192433159073686,0.8056433408408742
district,新丰县,2023,0,2023,0.022457067371202115,0.26420079260237783,0.71334214002642
district,新丰县,2023,1,2024,0.03866441633856722,0.28566498956334263,0.6756705940980902
district,新丰县,2023,2,2025,0.051331400972114055,0.2973717426309688,0.6512968563969171
district,新丰县,2023,3,2026,0.061007909502868767,0.30407200219223185,0.6349200883048994
district,新丰县,2023,4,2027,0.06830106782917844,0.30810674734098453,0.6235921848298371
district,新丰县,2023,5,2028,0.07375314160669438,0.3106571641226857,0.61558969427062
district,新丰县,2023,6,2029,0.07780835767859677,0.31233867849952157,0.6098529638218818
district,新丰县,2023,7,2030,0.08081510056302801,0.3134852623311801,0.605699637105792
district,新丰县,2023,8,2031,0.08304003559588649,0.3142869921704601,0.6026729722336536
district,新丰县,2023,9,2032,0.08468438715410523,0.31485768171891565,0.6004579311269793
district,新丰县,2023,10,2033,0.08589869239775498,0.3152689031158403,0.5988324044864048
district,曲江区,2023,0,2023,0.010137581462708182,0.22121650977552498,0.7686459087617669
district,曲江区,2023,1,2024,0.020752652063409986,0.2805208104112814,0.6987265375253086
district,曲江区,2023,2,2025,0.02930377443447027,0.3162405262280045,0.6544556993375251
district,曲江区,2023,3,2026,0.03577899915387956,0.3381730542298313,0.626047946616289
district,曲江区,2023,4,2027,0.04050688702544737,0.3518773359315638,0.6076157770429887
district,曲江区,2023,5,2028,0.04387976736171395,0.3605724415305788,0.5955477911077071
district,曲江区,2023,6,2029,0.04624890375348733,0.3661616269111206,0.5875894693353919
district,曲江区,2023,7,2030,0.047895232523662214,0.36979329959092894,0.5823114678854087
district,曲江区,2023,8,2031,0.04903062782301262,0.3721737670882716,0.5787956050887156
district,曲江区,2023,9,2032,0.04980940082466957,0.3737450061805882,0.5764455929947421
district,曲江区,2023,10,2033,0.05034145522177719,0.37478779774001286,0.5748707470382097
district,武江区,2023,0,2023,0.05259087393658159,0.24129930394431554,0.7061098221191029
district,武江区,2023,1,2024,0.06383977680839853,0.27411621772561423,0.6620440054659873
district,武江区,2023,2,2025,0.07438746910070156,0.2941127650097222,0.6314997658895762
district,武江区,2023,3,2026,0.08342954635157834,0.3068272973649372,0.6097431562834844
district,武江区,2023,4,2027,0.09083241013409978,0.3152467439843285,0.5939208458815717
district,武江区,2023,5,2028,0.09673658079752111,0.3210250836258928,0.582238335576586
district,武江区,2023,6,2029,0.10137174152324538,0.32510896408371576,0.5735192943930388
district,武江区,2023,7,2030,0.10497502883291777,0.3280616100568713,0.5669633611102108
district,武江区,2023,8,2031,0.10775867581774276,0.3302325387921447,0.5620087853901125
district,武江区,2023,9,2032,0.10990046152204379,0.33184798493118184,0.5582515535467742
district,武江区,2023,10,2033,0.11154406649136299,0.3330601822648352,0.5553957512438017
district,浈江区,2023,0,2023,0.016129032258064516,0.28005865102639294,0.7038123167155426
district,浈江区,2023,1,2024,0.028674017919684595,0.28493330014979473,0.6863926819305207
district,浈江区,2023,2,2025,0.03589677196371715,0.29079695602664796,0.6733062720096349
district,浈江区,2023,3,2026,0.0401952051481816,0.29602931967973484,0.6637754751720836
district,浈江区,2023,4,2027,0.042833084080723186,0.3002014930218581,0.6569654228974188
district,浈江区,2023,5,2028,0.044495906803264755,0.3033455376404951,0.6521585555562401
district,浈江区,2023,6,2029,0.04556762181600683,0.30563958396107205,0.6487927942229211
district,浈江区,2023,7,2030,0.04627061152257098,0.3072806658171173,0.6464487226603117
district,浈江区,2023,8,2031,0.04673797617718413,0.30843990071809574,0.6448221231047201
district,浈江区,2023,9,2032,0.047051813746440185,0.30925200409788856,0.6436961821556713
district,浈江区,2023,10,2033,0.04726409855024801,0.3098177820208754,0.6429181194288766
district,翁源县,2023,0,2023,0.0035335689045936395,0.15812720848056538,0.838339222614841
district,翁源县,2023,1,2024,0.012770722591951904,0.18111745075208283,0.8061118266559653
district,翁源县,2023,2,2025,0.01723548500462596,0.19666995068941642,0.7860945643059576
district,翁源县,2023,3,2026,0.019511616227471582,0.20649972414257542,0.773988659629953
district,翁源县,2023,4,2027,0.02072254969596917,0.21250105557891588,0.7667763947251149
district,翁源县,2023,5,2028,0.02138730948423332,0.21609578447450808,0.7625169060412587
district,翁源县,2023,6,2029,0.021760223833571634,0.2182255157350558,0.7600142604313727
district,翁源县,2023,7,2030,0.021972429960160064,0.21947918624920187,0.7585483837906382
district,翁源县,2023,8,2031,0.022094295871045336,0.22021432933520607,0.7576913747937487
district,翁源县,2023,9,2032,0.022164684979634624,0.22064441595558384,0.7571908990647817
district,翁源县,2023,10,2033,0.022205486892601312,0.2208956815091518,0.756898831598247
district,边缘争议区,2023,0,2023,0.0,0.27956989247311825,0.7204301075268817
district,边缘争议区,2023,1,2024,0.004862610413471406,0.31387891451641853,0.6812584750701101
district,边缘争议区,2023,2,2025,0.009802276187723719,0.3297053330471651,0.6604923907651111
district,边缘争议区,2023,3,2026,0.014766502774535156,0.3365262681331847,0.6487072290922801
district,边缘争议区,2023,4,2027,0.019729765561109423,0.3389616712552216,0.6413085631836689
district,边缘争议区,2023,5,2028,0.024679687099273307,0.339263686610915,0.6360566262898116
district,边缘争议区,2023,6,2029,0.029610298683654297,0.3385301828272218,0.6318595184891238
district,边缘争议区,2023,7,2030,0.03451875545913027,0.33729633410774057,0.6281849104331291
district,边缘争议区,2023,8,2031,0.039403735079504,0.3358230084552232,0.6247732564652727
district,边缘争议区,2023,9,2032,0.044264657075802114,0.33423735323128234,0.6214979896929155
district,边缘争议区,2023,10,2033,0.049101302309982955,0.3326013288133511,0.6182973688766659
